1635236500.732619
1635240934.843308
1635241834.52075
1638858682.932433,1.6,150
1638865794.086671,0.43,147
1638873091.987346,1.7,147
1638885277.208719,0.39,166
1638891573.199202,1.39,150
1638920712.745312,0.39,151
1638922830.504591,0.65,175
1638924110.691428,0.41,189
1638942689.614712,0.4,156
1638950316.310892,0.41,156
1638955555.038868,0.4,169
1638956473.786182,1.44,172
1638964836.389244,0.43,140
1638968640.54907,0.42,142
1638973881.294463,0.44,149
1639005329.675204,1.07,156
1639009319.072393,1.22,144
1639015446.403503,1.22,186
1639024786.087415,1.47,142
1639033083.08929,1.35,142
1639040465.845372,1.61,144
1639048548.182473,1.41,141
1639059788.348847,0.42,142
1639065906.494299,0.41,144
1639094468.471486,1.69,148
1639097073.702201,0.99,189
1639108404.109026,1.53,146
1639114573.354941,1.61,148
1639121179.646364,1.53,148
1639126868.558286,0.68,169
1639128148.450345,0.46,173
1639129066.855474,0.43,164
1639132338.57152,1.53,158
1639137320.785464,0.42,138
1639146461.313241,1.56,156
1639155875.369178,1.53,146
1639178267.929527,0.41,146
1639183866.662396,1.53,165
1639185226.002155,0.43,179
1639191047.850646,0.93,140
1639196525.767891,0.38,144
1639213834.418045,1.56,146
1639219321.133259,0.39,153
1639225051.685363,0.4,151
1639233887.985611,0.4,144
1639267526.964044,0.41,150
1639271283.647797,1.01,170
1639274800.892096,1.61,174
1639276413.405593,1.37,170
1639284218.784534,0.47,10
1639284230.93301,0.38,54
1639284287.720241,0.37,59
1639284348.752167,0.38,12
1639284362.917529,0.36,18
1639284383.17327,0.38,10
1639284395.338992,0.4,18
1639285609.184863,1.29,164
1639289018.089479,1.66,162
1639293725.649105,1.29,134
1639293861.882745,0.4,10
1639303294.50317,0.39,160
1639308453.559931,0.43,144
1639315178.554657,0.74,142
1639325505.549436,0.43,138
1639354385.077203,0.6,186
1639359518.053703,1.09,184
1639363970.688919,1.71,142
1639374794.786203,0.42,156
1639385894.907979,1.53,142
1639387234.275266,0.73,175
1639388112.351488,0.98,176
1639391741.559207,0.38,138
1639404209.426218,1.42,160
1639407436.344273,0.41,162
1639440755.472044,0.4,148
1639442559.312657,0.42,166
1639455488.701217,0.4,167
1639461347.178519,1.53,189
1639463225.95509,0.43,145
1639470142.425841,0.43,142
1639473889.130919,0.63,164
1639475147.840931,0.35,146
1639482457.705432,0.42,144
1639485313.660313,0.42,162
1639490626.068966,0.42,148
1639525747.266941,0.43,162
1639531137.791387,0.44,190
1639532271.974787,0.35,178
1639534890.229248,1.69,154
1639543980.298725,0.43,140
1639552513.802817,0.43,142
1639561131.843537,0.82,152
1639570661.185935,1.36,146
1639578268.075788,0.63,140
1639609070.67516,0.37,142
1639611233.340788,1.17,177
1639614769.075923,0.99,189
1639618129.418804,1.53,189
1639619082.316093,0.43,189
1639628315.531638,0.58,191
1639633923.998201,1.26,154
1639642490.258619,0.43,144
1639649004.42679,0.39,137
1639657091.634804,1.44,146
1639665916.68354,0.78,168
1639694190.427657,1.53,154
1639699906.910945,0.4,140
1639706032.881963,0.44,162
1639711492.086287,0.49,191
1639722632.072639,0.43,151
1639728461.311126,0.41,156
1639730253.273246,1.48,189
1639731777.281569,0.43,156
1639735359.067233,0.44,140
1639736939.633603,0.95,179
1639746504.23291,1.21,160
1639758787.669389,1.49,142
1639780986.269827,1.04,146
1639785321.330498,0.55,148
1639791057.407669,0.41,163
1639791691.396271,1.35,204
1639798960.187453,1.0,140
1639805784.060036,0.96,150
1639810652.845336,0.41,143
1639811520.694463,0.74,194
1639815825.669878,0.38,82290
1639815829.717605,0.44,151
1639820564.511432,0.67,191
1639823261.18868,0.44,142
1639828483.066165,1.41,141
1639834175.710308,0.41,148
1639836771.230562,0.93,168
1639847011.750267,1.53,143
1639864839.827638,1.67,143
1639871148.838969,0.4,161
1639875009.269074,0.43,143
1639878755.145341,0.38,187
1639882181.828556,0.42,152
